"tarih","id","score","tahmin_var","olay_varmi","match","toplam_olay_sayisi","tahmin_dogru_number","tahmin_yanlis_number"
"3/8/2017","1513","0.00760945","0","0",,"11",,
"3/8/2017","1514","0.00505118","0","0",,"11",,
"3/8/2017","1515","0.00480034","0","0",,"11",,
"3/8/2017","1518","0.00203986","0","0",,"11",,
"3/8/2017","1519","0.00471508","0","0",,"11",,
"3/8/2017","1520","0.0125798","0","0",,"11",,
"3/8/2017","1521","0.000877721","0","0",,"11",,
"3/8/2017","1522","0.00446791","0","0",,"11",,
"3/8/2017","1523","0.000450189","0","0",,"11",,
"3/8/2017","1524","0.00141873","0","0",,"11",,
"3/8/2017","1525","0.00759954","0","0",,"11",,
"3/8/2017","1526","0.000777204","0","0",,"11",,
"3/8/2017","1527","0.00781354","0","0",,"11",,
"3/8/2017","1528","0.0150456","0","0",,"11",,
"3/8/2017","1529","0.00943484","0","0",,"11",,
"3/8/2017","1530","0.000655845","0","0",,"11",,
"3/8/2017","1531","0.0109068","0","0",,"11",,
"3/8/2017","1532","0.00601277","0","0",,"11",,
"3/8/2017","1533","0.0054348","0","0",,"11",,
"3/8/2017","1534","0.00562044","0","0",,"11",,
"3/8/2017","1535","0.01252","0","0",,"11",,
"3/8/2017","1536","0.00920541","0","0",,"11",,
"3/8/2017","1517","0.00133141","0","0",,"11",,
"3/8/2017","1537","0.00169542","0","0",,"11",,
"3/8/2017","1538","0.00504195","0","0",,"11",,
"3/8/2017","1539","0.00536247","0","0",,"11",,
"3/8/2017","1540","0.00157088","0","0",,"11",,
"3/8/2017","1542","0.00478873","0","0",,"11",,
"3/8/2017","1543","0.0147075","0","0",,"11",,
"3/8/2017","1544","0.000166873","0","0",,"11",,
"3/8/2017","1545","0.00743596","0","0",,"11",,
"3/8/2017","1546","0.0131127","0","0",,"11",,
"3/8/2017","1547","0.0121829","0","0",,"11",,
"3/8/2017","1548","0.0112066","0","0",,"11",,
"3/8/2017","1549","0.00699579","0","0",,"11",,
"3/8/2017","1550","0.0144329","0","0",,"11",,
"3/8/2017","1551","0.0150875","0","0",,"11",,
"3/8/2017","1552","0.0153679","0","0",,"11",,
"3/8/2017","1553","0.00664747","0","0",,"11",,
"3/8/2017","1554","0.0109078","0","0",,"11",,
"3/8/2017","1555","0.00332879","0","0",,"11",,
"3/8/2017","1556","0.00708983","0","0",,"11",,
"3/8/2017","1557","0.00721283","0","0",,"11",,
"3/8/2017","1559","0.00738987","0","0",,"11",,
"3/8/2017","1560","0.00187758","0","0",,"11",,
"3/8/2017","1561","0.00317288","0","0",,"11",,
"3/8/2017","1562","0.00724684","0","0",,"11",,
"3/8/2017","1563","0.011741","0","0",,"11",,
"3/8/2017","1564","0.00597966","0","0",,"11",,
"3/8/2017","1565","0.0141906","0","0",,"11",,
"3/8/2017","1566","0.0156251","0","0",,"11",,
"3/8/2017","1567","0.00467251","0","0",,"11",,
"3/8/2017","1568","0.00189866","0","0",,"11",,
"3/8/2017","1569","0.000614137","0","0",,"11",,
"7/8/2017","3926","0.0187737","0","0",,"10",,
"3/8/2017","1570","0.011635","0","0",,"11",,
"3/8/2017","1571","0.0119481","0","0",,"11",,
"3/8/2017","1572","0.0068436","0","0",,"11",,
"3/8/2017","1573","0.00509022","0","0",,"11",,
"3/8/2017","1574","0.0126506","0","0",,"11",,
"3/8/2017","1575","0.00601683","0","0",,"11",,
"3/8/2017","1576","0.00915589","0","0",,"11",,
"3/8/2017","1577","0.00747411","0","0",,"11",,
"3/8/2017","1578","0.00423798","0","0",,"11",,
"3/8/2017","1558","0.0122583","0","0",,"11",,
"3/8/2017","1579","0.010443","0","0",,"11",,
"3/8/2017","1580","0.0072886","0","0",,"11",,
"3/8/2017","1581","0.00711301","0","0",,"11",,
"3/8/2017","1582","0.00588905","0","0",,"11",,
"3/8/2017","1583","0.00559213","0","0",,"11",,
"3/8/2017","1584","0.0145524","0","0",,"11",,
"3/8/2017","1585","0.0119408","0","0",,"11",,
"3/8/2017","1586","0.0137826","0","0",,"11",,
"3/8/2017","1587","0.0132023","0","0",,"11",,
"3/8/2017","1588","0.00689342","0","0",,"11",,
"3/8/2017","1589","0.0077939","0","0",,"11",,
"3/8/2017","1590","0.0122326","0","0",,"11",,
"3/8/2017","1591","0.00378568","0","0",,"11",,
"3/8/2017","1592","0.00981346","0","0",,"11",,
"3/8/2017","1593","0.00825011","0","0",,"11",,
"3/8/2017","1594","0.0143664","0","0",,"11",,
"3/8/2017","1595","0.00401629","0","0",,"11",,
"3/8/2017","1596","0.0126282","0","0",,"11",,
"3/8/2017","1597","0.00343699","0","0",,"11",,
"3/8/2017","1598","0.0108143","0","0",,"11",,
"3/8/2017","1599","0.0054551","0","0",,"11",,
"3/8/2017","1600","0.0115851","0","0",,"11",,
"3/8/2017","1601","0.00310342","0","0",,"11",,
"3/8/2017","1602","0.00194988","0","0",,"11",,
"3/8/2017","1603","0.00107836","0","0",,"11",,
"3/8/2017","1604","0.0018287","0","0",,"11",,
"3/8/2017","1605","0.00835654","0","0",,"11",,
"3/8/2017","1606","0.0103815","0","0",,"11",,
"3/8/2017","1607","0.0154325","0","0",,"11",,
"7/8/2017","3967","0.0110248","0","0",,"10",,
"7/8/2017","3968","0.0293769","0","0",,"10",,
"7/8/2017","3969","0.0145794","0","0",,"10",,
"3/8/2017","1608","0.00631323","0","0",,"11",,
"3/8/2017","1609","0.0138141","0","0",,"11",,
"3/8/2017","1610","0.00414423","0","0",,"11",,
"3/8/2017","1611","0.00318521","0","0",,"11",,
"3/8/2017","1612","0.0141637","0","0",,"11",,
"3/8/2017","1613","0.0145637","0","0",,"11",,
"3/8/2017","1614","0.00712336","0","0",,"11",,
"3/8/2017","1615","0.00156114","0","0",,"11",,
"3/8/2017","1616","0.011528","0","0",,"11",,
"3/8/2017","1617","0.0139948","0","0",,"11",,
